target,trustee,permissionType,parentFolder,targetFolder,
Byung-Hyun.Gwak@wirelessoneoneline.com,Gita.Dutta@wirelessoneoneline.com,ChangeOwner,,,
Byung-Hyun.Gwak@wirelessoneoneline.com,Gita.Dutta@wirelessoneoneline.com,ChangePermission,,,
Gita.Dutta@wirelessoneoneline.com,Cezar.Pavel@wirelessoneoneline.com,DeleteItem,,,
Cezar.Pavel@wirelessoneoneline.com,Maxime.Westerink@wirelessoneoneline.com,ExternalAccount,,,
Maxime.Westerink@wirelessoneoneline.com,Tajana.Lovric@wirelessoneoneline.com,FullAccess,,,
Maxime.Westerink@wirelessoneoneline.com,Tajana.Lovric@wirelessoneoneline.com,SendAs,,,
Tajana.Lovric@wirelessoneoneline.com,Raine.Knihtila@wirelessoneoneline.com,ReadPermission,,,
Raine.Knihtila@wirelessoneoneline.com,Maurice.English@wirelessoneoneline.com,SendOnBehalf,,,
Stanislav.Zeman@wirelessoneoneline.com,Nishant.Patil@wirelessoneoneline.com,AvailibilityOnly,,Calendar,
Nishant.Patil@wirelessoneoneline.com,Vicente.Cabrera@wirelessoneoneline.com,LimitedDetails,,Calendar,
Vicente.Cabrera@wirelessoneoneline.com,Enes.Olsson@wirelessoneoneline.com,Author,,Inbox,
Enes.Olsson@wirelessoneoneline.com,Sakchai.Supitayaporn@wirelessoneoneline.com,Contributor,,Inbox,
Sakchai.Supitayaporn@wirelessoneoneline.com,Bryan.Helms@wirelessoneoneline.com,NonEdititingAuthor,,Inbox,
Bryan.Helms@wirelessoneoneline.com,Ilse.Sandell@wirelessoneoneline.com,Owner,,Inbox,
Ilse.Sandell@wirelessoneoneline.com,Hector.Parra@wirelessoneoneline.com,PublishingAuthor,,Inbox,
Hector.Parra@wirelessoneoneline.com,Sarmis.Skujins@wirelessoneoneline.com,PublishingEditor,,Inbox,
Sarmis.Skujins@wirelessoneoneline.com,Roman.Tomek@wirelessoneoneline.com,Reviewer,,Inbox,
Agrita.Kanepa@wirelessoneoneline.com,Suparna.Bhattacharya@wirelessoneoneline.com,Author,Inbox,inboxCustom Folder,
Suparna.Bhattacharya@wirelessoneoneline.com,Francisca.Laureano@wirelessoneoneline.com,Contributor,Inbox,inboxCustom Folder,
Francisca.Laureano@wirelessoneoneline.com,Jack.Walker@wirelessoneoneline.com,NonEdititingAuthor,Inbox,inboxCustom Folder,
Jack.Walker@wirelessoneoneline.com,Anil.Sarkar@wirelessoneoneline.com,Owner,Inbox,inboxCustom Folder,
Anil.Sarkar@wirelessoneoneline.com,Pavel.Bogdanov@wirelessoneoneline.com,PublishingAuthor,Inbox,inboxCustom Folder,
Pavel.Bogdanov@wirelessoneoneline.com,Amarasimha.Vinjamuri@wirelessoneoneline.com,PublishingEditor,Inbox,inboxCustom Folder,
Amarasimha.Vinjamuri@wirelessoneoneline.com,Lana.Goransson@wirelessoneoneline.com,Reviewer,Inbox,inboxCustom Folder,
Lana.Goransson@wirelessoneoneline.com,Geza.Roman@wirelessoneoneline.com,Author,,Custom Folder,
Geza.Roman@wirelessoneoneline.com,Kamila.Michnova@wirelessoneoneline.com,Contributor,,Custom Folder,
Kamila.Michnova@wirelessoneoneline.com,Eugen.Agafitei@wirelessoneoneline.com,NonEdititingAuthor,,Custom Folder,
Eugen.Agafitei@wirelessoneoneline.com,Sumati.Chatterjee@wirelessoneoneline.com,Owner,,Custom Folder,
Sumati.Chatterjee@wirelessoneoneline.com,Richard.Friar@wirelessoneoneline.com,PublishingAuthor,,Custom Folder,
Richard.Friar@wirelessoneoneline.com,Matyas.Sedlar@wirelessoneoneline.com,PublishingEditor,,Custom Folder,
Matyas.Sedlar@wirelessoneoneline.com,Nicolo.Cattaneo@wirelessoneoneline.com,Reviewer,,Custom Folder,
Nicolo.Cattaneo@wirelessoneoneline.com,Ivan.Sepulveda@wirelessoneoneline.com,Author,,Calendar,
Ivan.Sepulveda@wirelessoneoneline.com,Anna.Gyarmathi@wirelessoneoneline.com,Contributor,,Calendar,
Anna.Gyarmathi@wirelessoneoneline.com,Bishwa.Chatterjee@wirelessoneoneline.com,NonEdititingAuthor,,Calendar,
Bishwa.Chatterjee@wirelessoneoneline.com,Raghu.Sandhu@wirelessoneoneline.com,Owner,,Calendar,
Raghu.Sandhu@wirelessoneoneline.com,Agrita.Kanepa@wirelessoneoneline.com,PublishingAuthor,,Calendar,
Be.Trang@wirelessoneoneline.com,Meera.Patel@wirelessoneoneline.com,PublishingEditor,,Calendar,
Meera.Patel@wirelessoneoneline.com,Be.Trang@wirelessoneoneline.com,Reviewer,,Calendar,
Kayla.Woodcock@wirelessoneoneline.com,Markus.Kantee@wirelessoneoneline.com,ChangeOwner,,,
Hudson.Onslow@wirelessoneoneline.com,Lovro.Kulaga@wirelessoneoneline.com,ChangePermission,,,
Isabella.Rupp@wirelessoneoneline.com,Chompunut.Jetjirawat@wirelessoneoneline.com,DeleteItem,,,
Sophia.Hinton@wirelessoneoneline.com,Prem.Reddy@wirelessoneoneline.com,ExternalAccount,,,
Amy.Trefl@wirelessoneoneline.com,Akanksha.Sarma@wirelessoneoneline.com,FullAccess,,,
Anthony.Grosse@wirelessoneoneline.com,Gaurav.Sikdar@wirelessoneoneline.com,SendAs,,,
Alica.Fatnowna@wirelessoneoneline.com,Georg.Valbe@wirelessoneoneline.com,ReadPermission,,,
Stella.Rosenhain@wirelessoneoneline.com,Pramod.Nishad@wirelessoneoneline.com,SendOnBehalf,,,
Ethan.Onslow@wirelessoneoneline.com,Avani.Aggarwal@wirelessoneoneline.com,AvailibilityOnly,,Calendar,
Henry.Forlonge@wirelessoneoneline.com,Prasong.Tuntayakul@wirelessoneoneline.com,LimitedDetails,,Calendar,
Hudson.Hollinworth@wirelessoneoneline.com,Nasrin.Fard@wirelessoneoneline.com,Author,,Inbox,
Lily.Code@wirelessoneoneline.com,Hele.Semjonov@wirelessoneoneline.com,Contributor,,Inbox,
Taj.Shand@wirelessoneoneline.com,Mariano.Costa@wirelessoneoneline.com,NonEdititingAuthor,,Inbox,
Piper.Koch@wirelessoneoneline.com,Amalendu.Veturi@wirelessoneoneline.com,Owner,,Inbox,
Katie.Darwin@wirelessoneoneline.com,Daniella.Barbosa@wirelessoneoneline.com,PublishingAuthor,,Inbox,
Jai.Shand@wirelessoneoneline.com,Cezar.Preda@wirelessoneoneline.com,PublishingEditor,,Inbox,
Jack.Potter@wirelessoneoneline.com,Hamsapriya.Nandamuri@wirelessoneoneline.com,Reviewer,,Inbox,
Matheus.Oliveira@wirelessoneoneline.com,Sudhir.Yadav@wirelessoneoneline.com,Author,Inbox,inboxCustom Folder,
Eliza.Soderberg@wirelessoneoneline.com,Priya.kaushal@wirelessoneoneline.com,Contributor,Inbox,inboxCustom Folder,
Waldemar.Fisar@wirelessoneoneline.com,Magda.Ciora@wirelessoneoneline.com,NonEdititingAuthor,Inbox,inboxCustom Folder,
Young-Tae.Kim@wirelessoneoneline.com,Dhanishta.Kidambi@wirelessoneoneline.com,Owner,Inbox,inboxCustom Folder,
Karel.Hanak@wirelessoneoneline.com,Bholanath.Das@wirelessoneoneline.com,PublishingAuthor,Inbox,inboxCustom Folder,
Ashish.Acharya@wirelessoneoneline.com,Byung-Hyun.Gwak@wirelessoneoneline.com,PublishingEditor,Inbox,inboxCustom Folder,
Kalpana.Mukherjee@wirelessoneoneline.com,Gita.Dutta@wirelessoneoneline.com,Reviewer,Inbox,inboxCustom Folder,
Ivan.Castellanos@wirelessoneoneline.com,Cezar.Pavel@wirelessoneoneline.com,Author,,Custom Folder,
Parsa.Blijleven@wirelessoneoneline.com,Maxime.Westerink@wirelessoneoneline.com,Contributor,,Custom Folder,
Adrijana.Blagojevic@wirelessoneoneline.com,Tajana.Lovric@wirelessoneoneline.com,NonEdititingAuthor,,Custom Folder,
Raimonds.Kalnins@wirelessoneoneline.com,Raine.Knihtila@wirelessoneoneline.com,Owner,,Custom Folder,
Liia.Mae@wirelessoneoneline.com,Maurice.English@wirelessoneoneline.com,PublishingAuthor,,Custom Folder,
Vitezslav.Rehak@wirelessoneoneline.com,Stanislav.Zeman@wirelessoneoneline.com,PublishingEditor,,Custom Folder,
Juan.Bezanson@wirelessoneoneline.com,Nishant.Patil@wirelessoneoneline.com,Reviewer,,Custom Folder,
Pratap.Varghese@wirelessoneoneline.com,Vicente.Cabrera@wirelessoneoneline.com,Author,,Calendar,
Marcel.Marquis@wirelessoneoneline.com,Enes.Olsson@wirelessoneoneline.com,Contributor,,Calendar,
Paola.Loggia@wirelessoneoneline.com,Sakchai.Supitayaporn@wirelessoneoneline.com,NonEdititingAuthor,,Calendar,
Chaowalit.Pornpipatpong@wirelessoneoneline.com,Bryan.Helms@wirelessoneoneline.com,Owner,,Calendar,
